IP地址,数据中心,地区,城市,网络延迟
104.20.18.77,HKG,Asia Pacific,Hong Kong,129 ms
104.20.20.123,HKG,Asia Pacific,Hong Kong,130 ms
162.159.153.188,HKG,Asia Pacific,Hong Kong,130 ms
172.67.66.222,HKG,Asia Pacific,Hong Kong,130 ms
172.67.71.26,HKG,Asia Pacific,Hong Kong,130 ms
104.20.27.121,HKG,Asia Pacific,Hong Kong,130 ms
104.20.17.111,HKG,Asia Pacific,Hong Kong,131 ms
104.26.0.74,HKG,Asia Pacific,Hong Kong,132 ms
172.67.64.79,HKG,Asia Pacific,Hong Kong,133 ms
172.65.232.33,HKG,Asia Pacific,Hong Kong,133 ms
104.20.21.78,HKG,Asia Pacific,Hong Kong,133 ms
162.159.137.209,HKG,Asia Pacific,Hong Kong,134 ms
162.159.129.120,HKG,Asia Pacific,Hong Kong,134 ms
104.16.250.167,SJC,North America,San Jose,155 ms
104.17.27.233,SJC,North America,San Jose,160 ms
104.16.238.187,SJC,North America,San Jose,165 ms
104.16.236.246,SJC,North America,San Jose,166 ms
104.18.245.134,SJC,North America,San Jose,166 ms
104.16.234.76,SJC,North America,San Jose,170 ms
104.27.28.173,LAX,North America,Los Angeles,170 ms
104.24.244.220,LAX,North America,Los Angeles,170 ms
104.24.78.13,LAX,North America,Los Angeles,171 ms
104.27.33.230,LAX,North America,Los Angeles,171 ms
104.23.107.70,LAX,North America,Los Angeles,171 ms
104.19.15.254,LAX,North America,Los Angeles,171 ms
162.159.1.133,LAX,North America,Los Angeles,172 ms
104.20.64.40,LAX,North America,Los Angeles,172 ms
104.24.228.182,LAX,North America,Los Angeles,172 ms
104.27.67.75,LAX,North America,Los Angeles,172 ms
104.20.149.123,LAX,North America,Los Angeles,172 ms
104.20.130.244,LAX,North America,Los Angeles,172 ms
104.20.82.205,LAX,North America,Los Angeles,172 ms
104.25.154.25,LAX,North America,Los Angeles,173 ms
104.20.63.172,LAX,North America,Los Angeles,173 ms
104.20.137.60,LAX,North America,Los Angeles,173 ms
104.20.192.214,LAX,North America,Los Angeles,173 ms
104.20.14.85,LAX,North America,Los Angeles,173 ms
198.41.197.97,LAX,North America,Los Angeles,173 ms
162.159.240.1,LAX,North America,Los Angeles,173 ms
104.24.134.241,LAX,North America,Los Angeles,173 ms
104.23.102.149,LAX,North America,Los Angeles,174 ms
104.20.51.36,LAX,North America,Los Angeles,174 ms
104.25.10.87,LAX,North America,Los Angeles,174 ms
104.20.118.236,LAX,North America,Los Angeles,174 ms
104.18.33.137,LAX,North America,Los Angeles,174 ms
104.20.3.45,LAX,North America,Los Angeles,174 ms
198.41.222.50,LAX,North America,Los Angeles,174 ms
172.67.60.225,LAX,North America,Los Angeles,175 ms
104.24.76.174,LAX,North America,Los Angeles,175 ms
104.25.252.237,LAX,North America,Los Angeles,175 ms
104.24.208.56,LAX,North America,Los Angeles,175 ms
162.159.27.36,LAX,North America,Los Angeles,175 ms
172.64.82.3,LAX,North America,Los Angeles,175 ms
104.27.64.26,LAX,North America,Los Angeles,175 ms
104.27.60.240,LAX,North America,Los Angeles,176 ms
104.25.198.35,LAX,North America,Los Angeles,176 ms
104.24.187.2,LAX,North America,Los Angeles,176 ms
104.19.41.139,LAX,North America,Los Angeles,176 ms
162.159.249.123,LAX,North America,Los Angeles,177 ms
104.23.103.91,LAX,North America,Los Angeles,177 ms
104.19.12.123,LAX,North America,Los Angeles,177 ms
104.25.211.199,LAX,North America,Los Angeles,177 ms
172.67.113.51,LAX,North America,Los Angeles,177 ms
104.18.11.79,LAX,North America,Los Angeles,177 ms
104.25.40.170,LAX,North America,Los Angeles,177 ms
104.25.247.99,LAX,North America,Los Angeles,178 ms
104.24.252.232,LAX,North America,Los Angeles,178 ms
104.25.35.106,LAX,North America,Los Angeles,178 ms
104.20.243.113,LAX,North America,Los Angeles,178 ms
104.18.9.154,LAX,North America,Los Angeles,178 ms
104.20.221.80,LAX,North America,Los Angeles,178 ms
104.18.38.161,LAX,North America,Los Angeles,178 ms
141.101.113.4,LAX,North America,Los Angeles,178 ms
104.25.192.241,LAX,North America,Los Angeles,178 ms
104.19.102.157,LAX,North America,Los Angeles,178 ms
104.17.17.72,SJC,North America,San Jose,178 ms
104.25.176.67,LAX,North America,Los Angeles,178 ms
104.20.83.235,LAX,North America,Los Angeles,178 ms
104.20.87.108,LAX,North America,Los Angeles,178 ms
104.27.63.161,LAX,North America,Los Angeles,178 ms
104.19.192.233,LAX,North America,Los Angeles,178 ms
104.24.239.230,LAX,North America,Los Angeles,178 ms
104.23.98.128,LAX,North America,Los Angeles,178 ms
104.24.243.104,LAX,North America,Los Angeles,179 ms
104.19.6.174,LAX,North America,Los Angeles,179 ms
104.20.49.192,LAX,North America,Los Angeles,179 ms
104.19.108.44,LAX,North America,Los Angeles,179 ms
172.67.54.45,LAX,North America,Los Angeles,179 ms
104.24.37.34,LAX,North America,Los Angeles,179 ms
104.24.176.180,LAX,North America,Los Angeles,179 ms
104.19.25.15,LAX,North America,Los Angeles,179 ms
104.22.13.54,LAX,North America,Los Angeles,179 ms
104.25.242.38,LAX,North America,Los Angeles,179 ms
162.159.239.213,LAX,North America,Los Angeles,179 ms
104.24.13.32,LAX,North America,Los Angeles,179 ms
104.27.25.41,LAX,North America,Los Angeles,179 ms
162.159.243.98,LAX,North America,Los Angeles,179 ms
104.20.206.117,LAX,North America,Los Angeles,179 ms
104.27.19.85,LAX,North America,Los Angeles,179 ms
104.25.102.106,LAX,North America,Los Angeles,179 ms
104.19.31.201,LAX,North America,Los Angeles,179 ms
104.20.182.160,LAX,North America,Los Angeles,179 ms
104.25.1.146,LAX,North America,Los Angeles,179 ms
172.64.50.29,LAX,North America,Los Angeles,179 ms
104.24.74.52,LAX,North America,Los Angeles,179 ms
104.25.245.158,LAX,North America,Los Angeles,179 ms
104.18.18.138,LAX,North America,Los Angeles,179 ms
104.27.59.248,LAX,North America,Los Angeles,179 ms
104.22.52.34,LAX,North America,Los Angeles,179 ms
104.23.125.140,LAX,North America,Los Angeles,179 ms
104.24.15.38,LAX,North America,Los Angeles,179 ms
104.24.94.105,LAX,North America,Los Angeles,180 ms
104.18.39.22,LAX,North America,Los Angeles,180 ms
104.20.225.191,LAX,North America,Los Angeles,180 ms
104.27.37.124,LAX,North America,Los Angeles,180 ms
104.18.3.153,LAX,North America,Los Angeles,180 ms
104.19.198.49,LAX,North America,Los Angeles,180 ms
162.159.6.101,LAX,North America,Los Angeles,180 ms
104.24.3.163,LAX,North America,Los Angeles,180 ms
172.64.49.232,LAX,North America,Los Angeles,180 ms
104.25.115.235,LAX,North America,Los Angeles,180 ms
104.18.165.117,SJC,North America,San Jose,180 ms
104.19.122.82,LAX,North America,Los Angeles,180 ms
104.27.84.199,LAX,North America,Los Angeles,180 ms
104.27.36.174,LAX,North America,Los Angeles,180 ms
172.64.157.241,LAX,North America,Los Angeles,180 ms
172.64.32.172,LAX,North America,Los Angeles,180 ms
104.19.195.2,LAX,North America,Los Angeles,180 ms
104.19.2.102,LAX,North America,Los Angeles,180 ms
104.19.124.160,LAX,North America,Los Angeles,180 ms
104.18.36.230,LAX,North America,Los Angeles,180 ms
104.20.142.9,LAX,North America,Los Angeles,180 ms
104.24.241.248,LAX,North America,Los Angeles,180 ms
104.25.126.98,LAX,North America,Los Angeles,180 ms
104.24.136.156,LAX,North America,Los Angeles,180 ms
172.64.228.10,LAX,North America,Los Angeles,180 ms
104.20.41.53,LAX,North America,Los Angeles,180 ms
104.20.74.74,LAX,North America,Los Angeles,180 ms
104.24.46.161,LAX,North America,Los Angeles,180 ms
198.41.202.238,LAX,North America,Los Angeles,180 ms
104.19.91.207,LAX,North America,Los Angeles,180 ms
172.67.61.240,LAX,North America,Los Angeles,180 ms
104.25.181.94,LAX,North America,Los Angeles,180 ms
104.19.197.39,LAX,North America,Los Angeles,180 ms
162.159.23.75,LAX,North America,Los Angeles,181 ms
172.64.159.67,LAX,North America,Los Angeles,181 ms
104.25.88.50,LAX,North America,Los Angeles,181 ms
104.20.11.29,LAX,North America,Los Angeles,181 ms
172.67.49.180,LAX,North America,Los Angeles,181 ms
104.20.227.13,LAX,North America,Los Angeles,181 ms
104.25.226.143,LAX,North America,Los Angeles,181 ms
104.19.36.217,LAX,North America,Los Angeles,181 ms
104.25.111.202,LAX,North America,Los Angeles,181 ms
104.27.117.103,LAX,North America,Los Angeles,181 ms
104.24.194.155,LAX,North America,Los Angeles,181 ms
104.22.39.47,LAX,North America,Los Angeles,181 ms
104.22.11.38,LAX,North America,Los Angeles,181 ms
104.25.30.97,LAX,North America,Los Angeles,181 ms
104.18.30.55,LAX,North America,Los Angeles,181 ms
104.25.251.131,LAX,North America,Los Angeles,181 ms
198.41.195.123,LAX,North America,Los Angeles,181 ms
172.64.33.51,LAX,North America,Los Angeles,181 ms
104.18.13.200,LAX,North America,Los Angeles,181 ms
104.20.201.191,LAX,North America,Los Angeles,181 ms
104.20.229.80,LAX,North America,Los Angeles,181 ms
104.25.5.78,LAX,North America,Los Angeles,181 ms
104.27.98.21,LAX,North America,Los Angeles,181 ms
104.24.27.78,LAX,North America,Los Angeles,181 ms
104.20.42.119,LAX,North America,Los Angeles,181 ms
104.23.119.174,LAX,North America,Los Angeles,181 ms
104.25.107.122,LAX,North America,Los Angeles,181 ms
104.20.151.89,LAX,North America,Los Angeles,181 ms
104.25.155.44,LAX,North America,Los Angeles,181 ms
104.20.60.78,LAX,North America,Los Angeles,181 ms
104.18.17.117,LAX,North America,Los Angeles,181 ms
104.20.224.16,LAX,North America,Los Angeles,181 ms
162.159.39.149,LAX,North America,Los Angeles,181 ms
104.24.159.8,LAX,North America,Los Angeles,181 ms
104.27.52.183,LAX,North America,Los Angeles,181 ms
104.25.137.196,LAX,North America,Los Angeles,181 ms
104.24.70.1,LAX,North America,Los Angeles,181 ms
104.16.251.40,SJC,North America,San Jose,181 ms
104.25.197.93,LAX,North America,Los Angeles,181 ms
172.67.0.139,LAX,North America,Los Angeles,181 ms
162.159.247.196,LAX,North America,Los Angeles,181 ms
104.25.150.244,LAX,North America,Los Angeles,181 ms
104.25.19.92,LAX,North America,Los Angeles,182 ms
104.27.124.9,LAX,North America,Los Angeles,182 ms
104.19.90.68,LAX,North America,Los Angeles,182 ms
104.25.84.154,LAX,North America,Los Angeles,182 ms
104.24.26.209,LAX,North America,Los Angeles,182 ms
104.24.148.211,LAX,North America,Los Angeles,182 ms
104.24.247.91,LAX,North America,Los Angeles,182 ms
108.162.192.88,LAX,North America,Los Angeles,182 ms
104.20.134.82,LAX,North America,Los Angeles,182 ms
104.27.10.36,LAX,North America,Los Angeles,182 ms
104.27.9.219,LAX,North America,Los Angeles,182 ms
104.19.51.80,LAX,North America,Los Angeles,182 ms
104.22.78.44,LAX,North America,Los Angeles,182 ms
172.67.28.0,LAX,North America,Los Angeles,182 ms
104.27.56.231,LAX,North America,Los Angeles,182 ms
162.159.19.177,LAX,North America,Los Angeles,182 ms
104.19.38.26,LAX,North America,Los Angeles,182 ms
104.22.5.209,LAX,North America,Los Angeles,182 ms
104.19.79.31,LAX,North America,Los Angeles,182 ms
104.27.38.101,LAX,North America,Los Angeles,182 ms
104.24.11.162,LAX,North America,Los Angeles,182 ms
104.25.148.159,LAX,North America,Los Angeles,182 ms
104.25.147.59,LAX,North America,Los Angeles,182 ms
104.27.111.206,LAX,North America,Los Angeles,182 ms
104.18.32.206,LAX,North America,Los Angeles,182 ms
162.159.242.121,LAX,North America,Los Angeles,182 ms
104.20.99.88,LAX,North America,Los Angeles,182 ms
104.24.43.253,LAX,North America,Los Angeles,182 ms
172.67.41.159,LAX,North America,Los Angeles,182 ms
104.27.5.224,LAX,North America,Los Angeles,182 ms
104.19.123.224,LAX,North America,Los Angeles,182 ms
104.20.73.34,LAX,North America,Los Angeles,182 ms
104.21.55.232,LAX,North America,Los Angeles,182 ms
104.24.215.107,LAX,North America,Los Angeles,182 ms
104.20.40.65,LAX,North America,Los Angeles,182 ms
104.22.64.33,LAX,North America,Los Angeles,182 ms
172.64.53.235,LAX,North America,Los Angeles,182 ms
104.19.4.204,LAX,North America,Los Angeles,182 ms
104.24.12.232,LAX,North America,Los Angeles,182 ms
162.159.21.195,LAX,North America,Los Angeles,182 ms
104.25.207.12,LAX,North America,Los Angeles,182 ms
104.24.188.166,LAX,North America,Los Angeles,182 ms
198.41.214.58,LAX,North America,Los Angeles,182 ms
104.22.38.175,LAX,North America,Los Angeles,182 ms
104.19.202.153,LAX,North America,Los Angeles,182 ms
104.19.116.235,LAX,North America,Los Angeles,182 ms
104.24.7.155,LAX,North America,Los Angeles,182 ms
104.24.221.92,LAX,North America,Los Angeles,182 ms
172.67.100.73,LAX,North America,Los Angeles,182 ms
104.25.164.47,LAX,North America,Los Angeles,182 ms
104.27.127.4,LAX,North America,Los Angeles,182 ms
104.25.106.30,LAX,North America,Los Angeles,182 ms
104.27.32.58,LAX,North America,Los Angeles,182 ms
104.20.67.28,LAX,North America,Los Angeles,182 ms
104.18.22.202,LAX,North America,Los Angeles,182 ms
104.24.72.50,LAX,North America,Los Angeles,182 ms
162.159.17.68,LAX,North America,Los Angeles,182 ms
198.41.218.13,LAX,North America,Los Angeles,182 ms
172.67.33.164,LAX,North America,Los Angeles,182 ms
104.24.161.148,LAX,North America,Los Angeles,182 ms
104.25.24.89,LAX,North America,Los Angeles,183 ms
172.64.34.77,LAX,North America,Los Angeles,183 ms
172.66.1.132,LAX,North America,Los Angeles,183 ms
104.19.11.10,LAX,North America,Los Angeles,183 ms
104.20.121.150,LAX,North America,Los Angeles,183 ms
162.159.24.119,LAX,North America,Los Angeles,183 ms
104.25.32.20,LAX,North America,Los Angeles,183 ms
104.24.84.122,LAX,North America,Los Angeles,183 ms
172.67.93.88,LAX,North America,Los Angeles,183 ms
104.20.218.142,LAX,North America,Los Angeles,183 ms
104.25.121.42,LAX,North America,Los Angeles,183 ms
162.251.82.54,LAX,North America,Los Angeles,183 ms
141.101.90.113,MXP,Europe,Milan,183 ms
104.19.39.234,LAX,North America,Los Angeles,183 ms
104.19.35.231,LAX,North America,Los Angeles,183 ms
104.25.183.9,LAX,North America,Los Angeles,183 ms
104.19.92.139,LAX,North America,Los Angeles,183 ms
104.22.62.216,LAX,North America,Los Angeles,183 ms
104.20.163.35,LAX,North America,Los Angeles,183 ms
104.24.33.207,LAX,North America,Los Angeles,183 ms
104.24.63.166,LAX,North America,Los Angeles,183 ms
104.18.227.145,SJC,North America,San Jose,183 ms
104.25.12.45,LAX,North America,Los Angeles,183 ms
104.24.133.219,LAX,North America,Los Angeles,183 ms
172.64.150.129,LAX,North America,Los Angeles,183 ms
104.25.255.119,LAX,North America,Los Angeles,183 ms
104.23.122.252,LAX,North America,Los Angeles,183 ms
104.24.53.41,LAX,North America,Los Angeles,183 ms
104.27.54.146,LAX,North America,Los Angeles,183 ms
172.64.38.232,LAX,North America,Los Angeles,183 ms
104.19.7.190,LAX,North America,Los Angeles,183 ms
162.159.252.82,LAX,North America,Los Angeles,183 ms
172.67.14.69,LAX,North America,Los Angeles,183 ms
104.25.105.186,LAX,North America,Los Angeles,183 ms
104.20.208.101,LAX,North America,Los Angeles,183 ms
104.24.172.107,LAX,North America,Los Angeles,183 ms
104.20.62.8,LAX,North America,Los Angeles,183 ms
104.25.184.203,LAX,North America,Los Angeles,183 ms
172.67.98.144,LAX,North America,Los Angeles,183 ms
104.25.62.152,LAX,North America,Los Angeles,183 ms
104.20.152.157,LAX,North America,Los Angeles,183 ms
108.162.193.170,LAX,North America,Los Angeles,183 ms
172.67.26.105,LAX,North America,Los Angeles,183 ms
104.24.56.154,LAX,North America,Los Angeles,184 ms
104.24.69.164,LAX,North America,Los Angeles,184 ms
104.25.250.105,LAX,North America,Los Angeles,184 ms
104.25.15.94,LAX,North America,Los Angeles,184 ms
104.18.1.217,LAX,North America,Los Angeles,184 ms
104.24.85.78,LAX,North America,Los Angeles,184 ms
172.67.42.115,LAX,North America,Los Angeles,184 ms
104.18.2.121,LAX,North America,Los Angeles,184 ms
104.22.49.129,LAX,North America,Los Angeles,184 ms
104.25.239.165,LAX,North America,Los Angeles,184 ms
104.25.229.86,LAX,North America,Los Angeles,184 ms
104.19.27.180,LAX,North America,Los Angeles,184 ms
162.159.3.208,LAX,North America,Los Angeles,184 ms
104.20.173.51,LAX,North America,Los Angeles,184 ms
104.24.202.200,LAX,North America,Los Angeles,184 ms
104.19.85.112,LAX,North America,Los Angeles,184 ms
104.18.196.45,SJC,North America,San Jose,184 ms
104.20.122.49,LAX,North America,Los Angeles,184 ms
104.18.20.36,LAX,North America,Los Angeles,184 ms
198.41.204.225,LAX,North America,Los Angeles,184 ms
104.27.122.118,LAX,North America,Los Angeles,184 ms
172.67.97.91,LAX,North America,Los Angeles,184 ms
104.20.138.59,LAX,North America,Los Angeles,184 ms
104.24.218.234,LAX,North America,Los Angeles,184 ms
104.20.56.113,LAX,North America,Los Angeles,184 ms
104.27.95.189,LAX,North America,Los Angeles,184 ms
162.159.245.183,LAX,North America,Los Angeles,184 ms
104.22.30.190,LAX,North America,Los Angeles,184 ms
104.20.55.68,LAX,North America,Los Angeles,184 ms
104.19.14.161,LAX,North America,Los Angeles,184 ms
162.159.0.78,LAX,North America,Los Angeles,185 ms
104.27.21.135,LAX,North America,Los Angeles,185 ms
104.22.72.62,LAX,North America,Los Angeles,185 ms
162.159.41.13,LAX,North America,Los Angeles,185 ms
162.159.48.119,LAX,North America,Los Angeles,185 ms
104.24.1.135,LAX,North America,Los Angeles,185 ms
104.19.45.181,LAX,North America,Los Angeles,185 ms
104.19.0.138,LAX,North America,Los Angeles,185 ms
104.27.65.45,LAX,North America,Los Angeles,185 ms
104.25.130.40,LAX,North America,Los Angeles,185 ms
104.24.35.228,LAX,North America,Los Angeles,185 ms
104.17.54.146,SJC,North America,San Jose,185 ms
104.24.232.113,LAX,North America,Los Angeles,185 ms
104.27.82.114,LAX,North America,Los Angeles,185 ms
104.22.14.39,LAX,North America,Los Angeles,185 ms
104.19.55.87,LAX,North America,Los Angeles,185 ms
104.25.8.225,LAX,North America,Los Angeles,185 ms
104.24.10.225,LAX,North America,Los Angeles,185 ms
104.25.133.221,LAX,North America,Los Angeles,185 ms
172.67.22.163,LAX,North America,Los Angeles,185 ms
104.24.21.15,LAX,North America,Los Angeles,185 ms
162.159.36.225,LAX,North America,Los Angeles,185 ms
104.24.165.151,LAX,North America,Los Angeles,185 ms
104.20.125.99,LAX,North America,Los Angeles,185 ms
104.20.91.220,LAX,North America,Los Angeles,185 ms
104.23.105.215,LAX,North America,Los Angeles,185 ms
173.245.49.193,LAX,North America,Los Angeles,185 ms
104.25.87.220,LAX,North America,Los Angeles,185 ms
104.24.14.45,LAX,North America,Los Angeles,185 ms
104.25.91.12,LAX,North America,Los Angeles,185 ms
104.20.8.47,LAX,North America,Los Angeles,185 ms
104.19.100.26,LAX,North America,Los Angeles,185 ms
104.17.60.18,SJC,North America,San Jose,185 ms
104.20.176.1,LAX,North America,Los Angeles,185 ms
104.22.32.234,LAX,North America,Los Angeles,185 ms
104.22.7.32,LAX,North America,Los Angeles,185 ms
172.67.12.192,LAX,North America,Los Angeles,185 ms
104.19.199.238,LAX,North America,Los Angeles,185 ms
104.22.60.103,LAX,North America,Los Angeles,185 ms
104.20.207.44,LAX,North America,Los Angeles,185 ms
104.22.63.50,LAX,North America,Los Angeles,185 ms
104.18.19.192,LAX,North America,Los Angeles,185 ms
104.27.34.62,LAX,North America,Los Angeles,185 ms
104.18.10.12,LAX,North America,Los Angeles,185 ms
172.67.58.105,LAX,North America,Los Angeles,186 ms
104.25.189.241,LAX,North America,Los Angeles,186 ms
104.27.41.177,LAX,North America,Los Angeles,186 ms
104.20.222.121,LAX,North America,Los Angeles,186 ms
104.27.121.6,LAX,North America,Los Angeles,186 ms
104.22.0.84,LAX,North America,Los Angeles,186 ms
104.24.151.135,LAX,North America,Los Angeles,186 ms
172.64.42.139,LAX,North America,Los Angeles,186 ms
104.25.180.186,LAX,North America,Los Angeles,186 ms
162.159.10.56,LAX,North America,Los Angeles,186 ms
104.24.163.207,LAX,North America,Los Angeles,186 ms
104.22.47.70,LAX,North America,Los Angeles,186 ms
162.159.248.166,LAX,North America,Los Angeles,186 ms
104.24.8.85,LAX,North America,Los Angeles,186 ms
162.159.253.159,LAX,North America,Los Angeles,186 ms
104.24.186.171,LAX,North America,Los Angeles,186 ms
104.24.44.140,LAX,North America,Los Angeles,186 ms
104.25.0.40,LAX,North America,Los Angeles,186 ms
104.20.13.173,LAX,North America,Los Angeles,186 ms
172.66.44.52,LAX,North America,Los Angeles,186 ms
104.25.80.218,LAX,North America,Los Angeles,186 ms
104.25.17.23,LAX,North America,Los Angeles,186 ms
104.25.172.59,LAX,North America,Los Angeles,186 ms
104.20.76.48,LAX,North America,Los Angeles,186 ms
104.27.17.167,LAX,North America,Los Angeles,186 ms
172.67.8.129,LAX,North America,Los Angeles,186 ms
104.18.170.149,SJC,North America,San Jose,186 ms
104.20.154.163,LAX,North America,Los Angeles,186 ms
104.22.66.111,LAX,North America,Los Angeles,186 ms
104.20.232.81,LAX,North America,Los Angeles,186 ms
104.19.105.117,LAX,North America,Los Angeles,186 ms
104.20.36.111,LAX,North America,Los Angeles,186 ms
104.20.238.4,LAX,North America,Los Angeles,186 ms
104.18.128.215,SJC,North America,San Jose,186 ms
104.18.5.0,LAX,North America,Los Angeles,186 ms
162.159.8.32,LAX,North America,Los Angeles,186 ms
104.22.25.252,LAX,North America,Los Angeles,186 ms
104.18.37.123,LAX,North America,Los Angeles,186 ms
104.19.118.31,LAX,North America,Los Angeles,186 ms
104.19.77.137,LAX,North America,Los Angeles,186 ms
104.20.253.173,LAX,North America,Los Angeles,186 ms
104.20.187.77,LAX,North America,Los Angeles,186 ms
104.27.46.163,LAX,North America,Los Angeles,186 ms
172.66.3.224,LAX,North America,Los Angeles,186 ms
104.27.7.144,LAX,North America,Los Angeles,186 ms
104.27.6.198,LAX,North America,Los Angeles,186 ms
162.159.20.15,LAX,North America,Los Angeles,186 ms
104.18.43.36,LAX,North America,Los Angeles,186 ms
104.19.201.192,LAX,North America,Los Angeles,186 ms
104.25.163.186,LAX,North America,Los Angeles,186 ms
104.20.115.3,LAX,North America,Los Angeles,186 ms
104.20.184.178,LAX,North America,Los Angeles,186 ms
104.27.85.31,LAX,North America,Los Angeles,186 ms
104.18.16.145,LAX,North America,Los Angeles,186 ms
104.24.130.120,LAX,North America,Los Angeles,187 ms
172.67.40.123,LAX,North America,Los Angeles,187 ms
104.18.162.91,SJC,North America,San Jose,187 ms
104.24.147.11,LAX,North America,Los Angeles,187 ms
104.20.96.249,LAX,North America,Los Angeles,187 ms
104.24.166.125,LAX,North America,Los Angeles,187 ms
104.24.58.192,LAX,North America,Los Angeles,187 ms
104.22.3.242,LAX,North America,Los Angeles,187 ms
104.24.199.80,LAX,North America,Los Angeles,187 ms
104.22.75.143,LAX,North America,Los Angeles,187 ms
104.19.207.10,LAX,North America,Los Angeles,187 ms
104.20.223.24,LAX,North America,Los Angeles,187 ms
104.20.160.96,LAX,North America,Los Angeles,187 ms
104.25.153.77,LAX,North America,Los Angeles,187 ms
104.17.30.254,SJC,North America,San Jose,187 ms
172.66.41.205,LAX,North America,Los Angeles,187 ms
104.22.44.75,LAX,North America,Los Angeles,187 ms
104.20.93.164,LAX,North America,Los Angeles,187 ms
104.27.118.24,LAX,North America,Los Angeles,187 ms
104.24.142.210,LAX,North America,Los Angeles,187 ms
104.19.206.65,LAX,North America,Los Angeles,187 ms
104.27.109.78,LAX,North America,Los Angeles,187 ms
104.24.182.0,LAX,North America,Los Angeles,187 ms
104.25.123.192,LAX,North America,Los Angeles,187 ms
104.20.97.144,LAX,North America,Los Angeles,187 ms
104.19.43.85,LAX,North America,Los Angeles,187 ms
172.64.229.103,LAX,North America,Los Angeles,187 ms
104.19.196.59,LAX,North America,Los Angeles,187 ms
104.25.253.162,LAX,North America,Los Angeles,187 ms
104.25.112.175,LAX,North America,Los Angeles,187 ms
162.159.26.27,LAX,North America,Los Angeles,187 ms
104.24.214.68,LAX,North America,Los Angeles,187 ms
198.217.251.114,LAX,North America,Los Angeles,187 ms
104.27.76.246,LAX,North America,Los Angeles,187 ms
104.25.194.85,LAX,North America,Los Angeles,187 ms
104.24.190.42,LAX,North America,Los Angeles,187 ms
172.67.6.197,LAX,North America,Los Angeles,187 ms
104.24.250.142,LAX,North America,Los Angeles,187 ms
104.22.41.238,LAX,North America,Los Angeles,187 ms
172.64.147.89,LAX,North America,Los Angeles,187 ms
104.19.87.57,LAX,North America,Los Angeles,187 ms
172.64.152.1,LAX,North America,Los Angeles,187 ms
104.24.57.37,LAX,North America,Los Angeles,187 ms
104.25.206.97,LAX,North America,Los Angeles,187 ms
